Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
ZS,D028,-0.5,-0.5,2.5,2
ZS,D029,10,9.25,7.758,8
ZS,D031,-3,1.167,15.942,6
ZS,D032,1.5,0.75,5.995,8
ZS,D033,4,2,4.32,3
ZS,D034,1,13.333,18.874,3
ZS,D035,-2.5,-1.583,7.239,12
ZS,D037,-4,-2.667,7.63,9
ZS,D038,-5,-1.273,9.186,11
ZS,D039,-11,-11.889,8.787,9
ZS,D040,4.5,4.5,3.5,2
ZS,D041,-11,-12,7.171,7
ZS,D042,4,2.5,9.845,6
ZS,D044,5,9.6,9.952,5
ZS,D046,11,7.8,7.73,5
ZS,D047,1,1.6,7.365,10
ZS,D048,-0.5,1.125,6.173,8
ZS,D049,0.5,0.5,5.5,2
ZS,D050,2.5,-1.75,11.155,8
ZS,D051,3,3.167,11.524,6
ZS,D052,-8,-4.25,11.713,8
ZS,D053,-10,-5.889,13.437,9
ZS,D054,7,5.125,17.316,8
ZS,D055,-1,-1,7.663,11
ZS,D056,-15,-13.455,13.013,11
ZS,D058,1,2.692,9.832,13
ZS,D059,-1.5,2.25,9.13,12
ZS,D060,-2,-3.455,9.079,11
ZS,D061,2.5,1.8,6.539,10
ZS,D062,-11,-9.5,5.196,8
ZS,D063,-7.5,-8,7.45,4
ZS,D064,-1,-2.6,5.571,5
ZS,D065,-1,-1,8.213,11
ZS,D066,7,-0.429,30.677,7
ZS,D067,3,2.727,8.822,11
ZS,D068,-1,-1.538,8.111,13
ZS,D069,-5,-5.333,6.128,3
ZS,D070,-2,-2,8.399,11
ZS,D071,0,0.769,10.707,13
ZS,D072,-2.5,-2.75,3.527,8
ZS,D073,8,6.5,10.308,4
ZS,D074,13,12.769,6.577,13
ZS,D075,-3.5,-3.5,3.5,2
ZS,D077,-10,-11,7.969,4
ZS,D078,-19,-16,8.406,6
ZS,D079,-2,-2.067,9.066,15
ZS,D081,-4,-9.4,8.261,5
ZS,D082,-17.5,-27.5,18.31,8
ZS,D083,15,14,6.185,8
ZS,D084,-4,-7,10.317,9
ZS,D085,3,-1,7.816,11
ZS,D086,-4,-4.154,9.844,13
ZS,D087,-5.5,-7.643,12.063,14
